work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,company_location,company_size,arrangement_type,field,brain_drain
2020,MI,FT,Data Scientist,79833,DE,DE,L,On-site,Data Science,No
2020,SE,FT,Machine Learning Scientist,260000,JP,JP,S,On-site,Machine Learning and Artificial Intelligence,No
2020,SE,FT,Big Data Engineer,109024,GB,GB,M,Hybrid,Data Engineering,No
2020,MI,FT,Product Data Analyst,20000,HN,HN,S,On-site,Data Analysis,No
2020,SE,FT,Machine Learning Engineer,150000,US,US,L,Hybrid,Machine Learning and Artificial Intelligence,No
2020,EN,FT,Data Analyst,72000,US,US,L,Remote,Data Analysis,No
2020,SE,FT,Lead Data Scientist,190000,US,US,S,Remote,Data Science,No
2020,MI,FT,Data Scientist,35735,HU,HU,L,Hybrid,Data Science,No
2020,MI,FT,Business Data Analyst,135000,US,US,L,Remote,Data Analysis,No
2020,SE,FT,Lead Data Engineer,125000,NZ,NZ,S,Hybrid,Data Engineering,No
2020,EN,FT,Data Scientist,51321,FR,FR,S,On-site,Data Science,No
2020,MI,FT,Data Scientist,40481,IN,IN,L,On-site,Data Science,No
2020,EN,FT,Data Scientist,39916,FR,FR,M,On-site,Data Science,No
2020,MI,FT,Lead Data Analyst,87000,US,US,L,Remote,Data Analysis,No
2020,MI,FT,Data Analyst,85000,US,US,L,Remote,Data Analysis,No
2020,MI,FT,Data Analyst,8000,PK,PK,L,Hybrid,Data Analysis,No
2020,EN,FT,Data Engineer,41689,JP,JP,S,Remote,Data Engineering,No
2020,SE,FT,Big Data Engineer,114047,PL,GB,S,Remote,Data Engineering,Yes
2020,EN,FT,Data Science Consultant,5707,IN,IN,M,Hybrid,Data Science,No
2020,MI,FT,Lead Data Engineer,56000,PT,US,M,Remote,Data Engineering,Yes
2020,MI,FT,Machine Learning Engineer,43331,CN,CN,M,On-site,Machine Learning and Artificial Intelligence,No
2020,MI,FT,Product Data Analyst,6072,IN,IN,L,Remote,Data Analysis,No
2020,SE,FT,Data Engineer,47899,GR,GR,L,Hybrid,Data Engineering,No
2020,MI,FT,BI Data Analyst,98000,US,US,M,On-site,Data Analysis,No
2020,MI,FT,Lead Data Scientist,115000,AE,AE,L,On-site,Data Science,No
2020,EX,FT,Director of Data Science,325000,US,US,L,Remote,Data Science,No
2020,EN,FT,Research Scientist,42000,NL,NL,L,Hybrid,Academe,No
2020,SE,FT,Data Engineer,33511,MX,MX,S,On-site,Data Engineering,No
2020,EN,CT,Business Data Analyst,100000,US,US,L,Remote,Data Analysis,No
2020,SE,FT,Machine Learning Manager,117104,CA,CA,L,Hybrid,Machine Learning and Artificial Intelligence,No
2020,MI,FT,Data Engineering Manager,59303,DE,DE,S,Remote,Data Engineering,No
2020,EN,FT,Big Data Engineer,70000,US,US,L,Remote,Data Engineering,No
2020,SE,FT,Data Scientist,68428,GR,US,L,Remote,Data Science,Yes
2020,MI,FT,Research Scientist,450000,US,US,M,On-site,Academe,No
2020,MI,FT,Data Analyst,46759,FR,FR,L,Hybrid,Data Analysis,No
2020,MI,FT,Data Engineer,74130,AT,AT,L,Hybrid,Data Engineering,No
2020,MI,FT,Data Science Consultant,103000,US,US,L,Remote,Data Science,No
2020,EN,FT,Machine Learning Engineer,250000,US,US,L,Hybrid,Machine Learning and Artificial Intelligence,No
2020,EN,FT,Data Analyst,10000,NG,NG,S,Remote,Data Analysis,No
2020,EN,FT,Machine Learning Engineer,138000,US,US,S,Remote,Machine Learning and Artificial Intelligence,No
2020,MI,FT,Data Scientist,45760,PH,US,S,Remote,Data Science,Yes
2020,EX,FT,Data Engineering Manager,79833,ES,ES,L,Hybrid,Data Engineering,No
2020,MI,FT,Machine Learning Infrastructure Engineer,50180,PT,PT,M,On-site,Machine Learning and Artificial Intelligence,No
2020,MI,FT,Data Engineer,106000,US,US,L,Remote,Data Engineering,No
2020,MI,FT,Data Engineer,112872,GB,GB,L,Hybrid,Data Engineering,No
2020,EN,PT,ML Engineer,15966,DE,DE,S,Remote,Machine Learning and Artificial Intelligence,No
2020,MI,FT,Data Scientist,76958,GB,GB,S,Remote,Data Science,No
2020,SE,FT,Data Engineer,188000,US,US,L,Remote,Data Engineering,No
2020,MI,FT,Data Scientist,105000,US,US,L,Remote,Data Science,No
2020,MI,FT,Data Engineer,70139,FR,FR,L,Hybrid,Data Engineering,No
2020,EN,FT,Data Analyst,6072,IN,IN,S,On-site,Data Analysis,No
2020,EN,FT,Data Analyst,91000,US,US,L,Remote,Data Analysis,No
2020,EN,FT,AI Scientist,45896,DK,DK,S,Hybrid,Machine Learning and Artificial Intelligence,No
2020,EN,FT,Data Engineer,54742,PK,DE,L,Remote,Data Engineering,Yes
2020,SE,FL,Computer Vision Engineer,60000,RU,US,S,Remote,Machine Learning and Artificial Intelligence,Yes
2020,SE,FT,Principal Data Scientist,148261,DE,DE,M,Remote,Data Science,No
2020,MI,FT,Data Scientist,38776,ES,ES,M,Remote,Data Science,No
2020,MI,FT,Data Scientist,118000,US,US,M,Remote,Data Science,No
2020,SE,FT,Data Scientist,120000,US,US,L,Hybrid,Data Science,No
2020,MI,FT,Data Scientist,138350,US,US,M,Remote,Data Science,No
2020,MI,FT,Data Engineer,110000,US,US,L,Remote,Data Engineering,No
2020,MI,FT,Data Engineer,130800,ES,US,M,Remote,Data Engineering,Yes
2020,EN,PT,Data Scientist,21669,IT,IT,S,Hybrid,Data Science,No
2020,SE,FT,Data Scientist,412000,US,US,L,Remote,Data Science,No
2020,SE,FT,Machine Learning Engineer,45618,HR,HR,S,Remote,Machine Learning and Artificial Intelligence,No
2020,EN,FT,Data Scientist,62726,DE,DE,S,Hybrid,Data Science,No
2020,EN,FT,Data Scientist,49268,DE,DE,S,On-site,Data Science,No
2020,SE,FT,Data Science Manager,190200,US,US,M,Remote,Data Science,No
2020,EN,FT,Data Scientist,105000,US,US,S,Remote,Data Science,No
2020,SE,FT,Data Scientist,91237,AT,AT,S,On-site,Data Science,No
2020,MI,FT,Data Scientist,62726,FR,LU,S,Hybrid,Data Science,Yes
2020,MI,FT,Data Scientist,42197,FR,FR,S,Hybrid,Data Science,No
2021,EN,FT,Research Scientist,82528,GB,GB,L,Hybrid,Academe,No
2021,EX,FT,BI Data Analyst,150000,IN,US,L,Remote,Data Analysis,Yes
2021,EX,FT,Head of Data,235000,US,US,L,Remote,Head of Data,No
2021,SE,FT,Data Scientist,53192,FR,FR,L,Hybrid,Data Science,No
2021,MI,FT,BI Data Analyst,100000,US,US,M,Remote,Data Analysis,No
2021,MI,PT,3D Computer Vision Researcher,5409,IN,IN,M,Hybrid,Machine Learning and Artificial Intelligence,No
2021,MI,CT,ML Engineer,270000,US,US,L,Remote,Machine Learning and Artificial Intelligence,No
2021,EN,FT,Data Analyst,80000,US,US,M,Remote,Data Analysis,No
2021,SE,FT,Data Analytics Engineer,79197,DE,DE,L,Remote,Data Analysis,No
2021,MI,FT,Data Engineer,140000,US,US,L,Remote,Data Engineering,No
2021,MI,FT,Applied Data Scientist,54238,GB,CA,L,Hybrid,Data Science,Yes
2021,MI,FT,Machine Learning Engineer,47282,ES,ES,S,Remote,Machine Learning and Artificial Intelligence,No
2021,EX,FT,Director of Data Science,153667,IT,PL,L,Remote,Data Science,Yes
2021,MI,FT,Data Engineer,28476,PL,PL,L,Remote,Data Engineering,No
2021,EN,FT,Data Analyst,59102,FR,FR,M,Hybrid,Data Analysis,No
2021,MI,FT,Data Analytics Engineer,110000,US,US,L,Remote,Data Analysis,No
2021,SE,FT,Lead Data Analyst,170000,US,US,L,Remote,Data Analysis,No
2021,SE,FT,Data Analyst,80000,BG,US,S,Remote,Data Analysis,Yes
2021,SE,FT,Marketing Data Analyst,88654,GR,DK,L,Remote,Data Analysis,Yes
2021,EN,FT,Data Science Consultant,76833,DE,DE,S,Remote,Data Science,No
2021,MI,FT,Lead Data Analyst,19609,IN,IN,L,Remote,Data Analysis,No
2021,SE,FT,Lead Data Engineer,276000,US,US,L,On-site,Data Engineering,No
2021,EN,FT,Data Scientist,29751,IN,IN,L,Hybrid,Data Science,No
2021,MI,FT,Cloud Data Engineer,89294,SG,SG,L,Hybrid,Data Engineering,No
2021,EN,PT,AI Scientist,12000,BR,US,S,Remote,Machine Learning and Artificial Intelligence,Yes
2021,MI,FT,Financial Data Analyst,450000,US,US,L,Remote,Data Analysis,No
2021,EN,FT,Computer Vision Software Engineer,70000,US,US,M,Remote,Machine Learning and Artificial Intelligence,No
2021,MI,FT,Computer Vision Software Engineer,95746,DE,US,S,Remote,Machine Learning and Artificial Intelligence,Yes
2021,MI,FT,Data Analyst,75000,US,US,L,On-site,Data Analysis,No
2021,SE,FT,Data Engineer,150000,US,US,L,Remote,Data Engineering,No
2021,MI,FT,BI Data Analyst,36259,HU,US,L,Hybrid,Data Analysis,Yes
2021,MI,FT,Data Analyst,62000,US,US,L,On-site,Data Analysis,No
2021,MI,FT,Data Scientist,73000,US,US,L,On-site,Data Science,No
2021,MI,FT,Data Analyst,51519,GB,GB,L,Hybrid,Data Analysis,No
2021,MI,FT,Research Scientist,187442,CA,CA,L,Remote,Academe,No
2021,SE,FT,Data Engineer,115000,US,US,S,Remote,Data Engineering,No
2021,SE,FT,Data Engineer,150000,US,US,M,Remote,Data Engineering,No
2021,EN,FT,Data Engineer,30428,IN,IN,L,Remote,Data Engineering,No
2021,SE,FT,Machine Learning Engineer,94564,DE,DE,L,Hybrid,Machine Learning and Artificial Intelligence,No
2021,SE,FT,Director of Data Engineering,113476,GB,GB,M,Remote,Data Engineering,No
2021,SE,FT,Lead Data Engineer,103160,GB,GB,S,Remote,Data Engineering,No
2021,EN,PT,AI Scientist,12000,PK,US,M,Remote,Machine Learning and Artificial Intelligence,Yes
2021,MI,FT,Data Engineer,45391,NL,NL,L,Remote,Data Engineering,No
2021,EN,FT,Machine Learning Scientist,225000,US,US,L,Remote,Machine Learning and Artificial Intelligence,No
2021,MI,FT,Data Scientist,50000,NG,NG,L,Remote,Data Science,No
2021,MI,FT,Data Science Engineer,40189,GR,GR,M,Remote,Data Science,No
2021,EN,FT,Data Analyst,90000,US,US,S,Remote,Data Analysis,No
2021,MI,FT,Data Engineer,200000,US,US,L,Remote,Data Engineering,No
2021,MI,FT,Big Data Engineer,60000,ES,RO,M,Hybrid,Data Engineering,Yes
2021,SE,FT,Principal Data Engineer,200000,US,US,M,Remote,Data Engineering,No
2021,EN,FT,Data Analyst,50000,US,US,M,Remote,Data Analysis,No
2021,EN,FT,Applied Data Scientist,110037,GB,GB,L,On-site,Data Science,No
2021,EN,PT,Data Analyst,10354,ES,ES,M,Hybrid,Data Analysis,No
2021,MI,FT,Principal Data Scientist,151000,US,US,L,Remote,Data Science,No
2021,SE,FT,Machine Learning Scientist,120000,US,US,S,Hybrid,Machine Learning and Artificial Intelligence,No
2021,MI,FT,Data Scientist,9466,IN,IN,S,On-site,Data Science,No
2021,EN,FT,Machine Learning Engineer,20000,IN,IN,S,Remote,Machine Learning and Artificial Intelligence,No
2021,SE,FT,Lead Data Scientist,40570,IN,IN,L,Hybrid,Data Science,No
2021,EN,FT,Machine Learning Developer,100000,IQ,IQ,S,Hybrid,Machine Learning and Artificial Intelligence,No
2021,EN,FT,Data Scientist,49646,FR,FR,M,Hybrid,Data Science,No
2021,MI,FT,Applied Machine Learning Scientist,38400,VN,US,M,Remote,Machine Learning and Artificial Intelligence,Yes
2021,SE,FT,Computer Vision Engineer,24000,BR,BR,M,Remote,Machine Learning and Artificial Intelligence,No
2021,EN,FT,Data Scientist,100000,US,US,S,On-site,Data Science,No
2021,MI,FT,Data Analyst,90000,US,US,M,Remote,Data Analysis,No
2021,MI,FT,ML Engineer,63711,JP,JP,S,Hybrid,Machine Learning and Artificial Intelligence,No
2021,MI,FT,ML Engineer,77364,JP,JP,S,Hybrid,Machine Learning and Artificial Intelligence,No
2021,SE,FT,Principal Data Scientist,220000,US,US,L,On-site,Data Science,No
2021,EN,FT,Data Scientist,80000,US,US,M,Remote,Data Science,No
2021,MI,FT,Data Analyst,135000,US,US,L,Remote,Data Analysis,No
2021,SE,FT,Data Science Manager,240000,US,US,L,On-site,Data Science,No
2021,SE,FT,Data Engineering Manager,150000,US,US,L,On-site,Data Engineering,No
2021,MI,FT,Data Scientist,82500,US,US,S,Remote,Data Science,No
2021,MI,FT,Data Engineer,100000,US,US,L,Remote,Data Engineering,No
2021,SE,FT,Machine Learning Engineer,82744,BE,BE,M,Hybrid,Machine Learning and Artificial Intelligence,No
2021,MI,FT,Research Scientist,62649,FR,FR,M,Hybrid,Academe,No
2021,MI,FT,Data Engineer,90000,US,US,L,Remote,Data Engineering,No
2021,SE,FT,Data Engineering Manager,153000,US,US,L,Remote,Data Engineering,No
2021,SE,FT,Cloud Data Engineer,160000,BR,US,S,Remote,Data Engineering,Yes
2021,SE,FT,Director of Data Science,168000,JP,JP,S,On-site,Data Science,No
2021,MI,FT,Data Scientist,150000,US,US,M,Remote,Data Science,No
2021,MI,FT,Data Scientist,75774,CA,CA,L,Remote,Data Science,No
2021,EN,FT,Data Scientist,13400,UA,UA,L,Remote,Data Science,No
2021,SE,FT,Data Science Manager,144000,US,US,L,Remote,Data Science,No
2021,SE,FT,Data Science Engineer,127221,CA,CA,L,Hybrid,Data Science,No
2021,MI,FT,Data Scientist,119059,SG,IL,M,Remote,Data Science,Yes
2021,MI,FT,Applied Machine Learning Scientist,423000,US,US,L,Hybrid,Machine Learning and Artificial Intelligence,No
2021,SE,FT,Data Analytics Manager,120000,US,US,M,Remote,Data Analysis,No
2021,EN,FT,Machine Learning Engineer,125000,US,US,S,Remote,Machine Learning and Artificial Intelligence,No
2021,EX,FT,Head of Data,230000,RU,RU,L,Hybrid,Head of Data,No
2021,EX,FT,Head of Data Science,85000,RU,RU,M,On-site,Data Science,No
2021,MI,FT,Data Engineer,28369,MT,MT,L,Hybrid,Data Engineering,No
2021,EN,FT,Data Science Consultant,63831,DE,DE,L,Hybrid,Data Science,No
2021,EX,FT,Director of Data Science,130026,DE,DE,M,Hybrid,Data Science,No
2021,EN,FT,Data Engineer,80000,US,US,L,Remote,Data Engineering,No
2021,EX,FT,Director of Data Science,250000,US,US,L,On-site,Data Science,No
2021,EN,FT,BI Data Analyst,55000,US,US,S,Hybrid,Data Analysis,No
2021,MI,FT,Data Architect,150000,US,US,L,Remote,Data Engineering,No
2021,MI,FT,Data Architect,170000,US,US,L,Remote,Data Engineering,No
2021,MI,FT,Data Engineer,82528,GB,GB,L,Remote,Data Engineering,No
2021,EN,FT,Data Analyst,60000,US,US,S,Remote,Data Analysis,No
2021,SE,FT,Principal Data Scientist,235000,US,US,L,Remote,Data Science,No
2021,SE,FT,Research Scientist,60757,PT,PT,L,Hybrid,Academe,No
2021,SE,FT,Data Engineering Manager,174000,US,US,L,Remote,Data Engineering,No
2021,MI,FT,Data Scientist,2859,MX,MX,S,On-site,Data Science,No
2021,MI,FT,Data Scientist,40038,CL,CL,L,Remote,Data Science,No
2021,EN,FT,Machine Learning Engineer,81000,US,US,S,Hybrid,Machine Learning and Artificial Intelligence,No
2021,MI,FT,Data Scientist,5679,IN,US,S,Remote,Data Science,Yes
2021,MI,FT,Big Data Engineer,22611,IN,IN,L,On-site,Data Engineering,No
2021,MI,FT,Data Scientist,90734,DE,DE,L,Hybrid,Data Science,No
2021,MI,FT,Data Engineer,26005,RO,US,L,On-site,Data Engineering,Yes
2021,SE,FT,Finance Data Analyst,61896,GB,GB,L,Hybrid,Data Analysis,No
2021,MI,FL,Machine Learning Scientist,12000,PK,PK,M,Hybrid,Machine Learning and Artificial Intelligence,No
2021,MI,FT,Data Engineer,4000,IR,IR,M,Remote,Data Engineering,No
2021,SE,FT,Data Analytics Engineer,50000,VN,GB,M,Remote,Data Analysis,Yes
2021,EX,FT,Data Science Consultant,69741,FR,ES,S,Remote,Data Science,Yes
2021,SE,FT,Data Engineer,76833,RO,GB,S,Hybrid,Data Engineering,Yes
2021,MI,FT,Machine Learning Engineer,74000,JP,JP,S,Hybrid,Machine Learning and Artificial Intelligence,No
2021,SE,FT,Data Science Manager,152000,US,FR,L,Remote,Data Science,Yes
2021,EN,FT,Machine Learning Engineer,21844,CO,CO,M,Hybrid,Machine Learning and Artificial Intelligence,No
2021,MI,FT,Big Data Engineer,18000,MD,MD,S,On-site,Data Engineering,No
2021,SE,FT,Data Science Manager,174000,US,US,L,Remote,Data Science,No
2021,SE,FT,Research Scientist,96113,CA,CA,L,Hybrid,Academe,No
2021,MI,FT,Data Scientist,147000,US,US,L,Hybrid,Data Science,No
2021,EN,FT,BI Data Analyst,9272,KE,KE,S,Remote,Data Analysis,No
2021,SE,FT,Machine Learning Engineer,24342,IN,IN,L,Remote,Machine Learning and Artificial Intelligence,No
2021,SE,FT,Data Science Manager,54094,IN,US,L,Hybrid,Data Science,Yes
2021,EN,FT,Data Science Consultant,90000,US,US,S,Remote,Data Science,No
2021,MI,FT,Data Scientist,61467,DE,AT,M,Hybrid,Data Science,Yes
2021,SE,FT,Machine Learning Infrastructure Engineer,195000,US,US,M,Remote,Machine Learning and Artificial Intelligence,No
2021,MI,FT,Data Scientist,37825,ES,ES,L,Remote,Data Science,No
2021,SE,FT,Research Scientist,50000,FR,US,S,Remote,Academe,Yes
2021,MI,FT,Data Scientist,160000,US,US,L,Remote,Data Science,No
2021,MI,FT,Data Scientist,12901,BR,BR,S,On-site,Data Science,No
2021,SE,FT,Machine Learning Engineer,200000,US,US,L,Remote,Machine Learning and Artificial Intelligence,No
2021,SE,FT,Data Engineer,165000,US,US,M,On-site,Data Engineering,No
2021,MI,FL,Data Engineer,20000,IT,US,L,On-site,Data Engineering,Yes
2021,SE,FT,Data Analytics Manager,120000,US,US,L,On-site,Data Analysis,No
2021,MI,FT,Machine Learning Engineer,24823,SI,SI,L,Hybrid,Machine Learning and Artificial Intelligence,No
2021,MI,FT,Research Scientist,56738,FR,FR,S,Hybrid,Academe,No
2021,MI,FT,Data Engineer,66022,HK,GB,S,Hybrid,Data Engineering,Yes
2021,EN,FT,Big Data Engineer,5882,IN,CH,L,On-site,Data Engineering,Yes
2021,EN,FT,Machine Learning Engineer,24823,DE,DE,M,Hybrid,Machine Learning and Artificial Intelligence,No
2021,SE,FT,Principal Data Engineer,185000,US,US,L,Remote,Data Engineering,No
2021,EN,PT,Computer Vision Engineer,28609,DK,DK,S,Hybrid,Machine Learning and Artificial Intelligence,No
2021,MI,FT,Data Scientist,90734,DE,DE,L,Hybrid,Data Science,No
2021,MI,FT,Machine Learning Engineer,88654,BE,BE,M,Remote,Machine Learning and Artificial Intelligence,No
2021,SE,FT,Data Analytics Manager,140000,US,US,L,Remote,Data Analysis,No
2021,MI,FT,Machine Learning Engineer,46597,PL,PL,L,Remote,Machine Learning and Artificial Intelligence,No
2021,MI,FT,Data Scientist,116914,GB,GB,L,Hybrid,Data Science,No
2021,MI,FT,Data Scientist,33808,IN,IN,M,On-site,Data Science,No
2021,MI,FT,Data Scientist,56256,GB,GB,L,Hybrid,Data Science,No
2021,SE,FT,Machine Learning Scientist,225000,US,CA,L,Remote,Machine Learning and Artificial Intelligence,Yes
2021,EX,CT,Principal Data Scientist,416000,US,US,S,Remote,Data Science,No
2021,SE,FT,Data Scientist,87738,CA,CA,S,Remote,Data Science,No
2021,MI,FT,Data Scientist,88654,DE,DE,L,Hybrid,Data Science,No
2021,SE,FT,Data Scientist,135000,US,US,L,On-site,Data Science,No
2021,SE,FT,Data Analyst,71786,CA,CA,M,Remote,Data Analysis,No
2021,EN,FT,Big Data Engineer,16228,IN,IN,L,Remote,Data Engineering,No
2021,SE,FT,ML Engineer,256000,US,US,S,Remote,Machine Learning and Artificial Intelligence,No
2021,SE,FT,Director of Data Engineering,200000,US,US,L,Remote,Data Engineering,No
2021,SE,FT,Data Analyst,200000,US,US,L,Remote,Data Analysis,No
2021,MI,FT,Data Architect,180000,US,US,L,Remote,Data Engineering,No
2021,MI,FT,Head of Data Science,110000,US,US,S,On-site,Data Science,No
2021,MI,FT,Research Scientist,63810,CA,CA,M,Remote,Academe,No
2021,MI,FT,Data Scientist,46809,ES,ES,M,Remote,Data Science,No
2021,EN,FT,Data Scientist,4000,VN,VN,M,On-site,Data Science,No
2021,EN,FT,Data Engineer,21637,IN,IN,M,Hybrid,Data Engineering,No
2021,SE,FT,Data Scientist,103691,CA,CA,L,Remote,Data Science,No
2021,MI,FT,Data Analyst,80000,US,US,L,Remote,Data Analysis,No
2021,MI,FT,Data Engineer,110000,US,US,L,Remote,Data Engineering,No
2021,SE,FT,Data Scientist,165000,US,US,L,Remote,Data Science,No
2021,EN,FT,AI Scientist,18053,IN,AS,S,Remote,Machine Learning and Artificial Intelligence,Yes
2021,MI,FT,Data Engineer,72212,GB,GB,L,Hybrid,Data Engineering,No
2021,EN,FT,Data Scientist,36643,FR,FR,L,Hybrid,Data Science,No
2021,MI,FT,Data Engineer,12103,TR,TR,M,On-site,Data Engineering,No
2021,SE,FT,Data Engineer,96282,GB,GB,L,Hybrid,Data Engineering,No
2021,SE,FT,Principal Data Analyst,170000,US,US,M,Remote,Data Analysis,No
2021,MI,FT,Data Scientist,115000,US,US,L,Hybrid,Data Science,No
2021,EN,FT,Data Scientist,90000,US,US,S,Remote,Data Science,No
2021,EX,FT,Principal Data Engineer,600000,US,US,L,Remote,Data Engineering,No
2021,EN,FT,Data Scientist,28399,IN,IN,M,Remote,Data Science,No
2021,MI,FT,Data Analyst,93000,US,US,L,Remote,Data Analysis,No
2021,SE,FT,Big Data Architect,99703,CA,CA,M,Hybrid,Data Engineering,No
2021,MI,FT,Data Engineer,200000,US,US,L,Remote,Data Engineering,No
2021,SE,FT,Principal Data Scientist,173762,DE,DE,M,Remote,Data Science,No
2021,SE,FT,Machine Learning Engineer,185000,US,US,L,Hybrid,Machine Learning and Artificial Intelligence,No
2021,EX,FT,Director of Data Science,141846,DE,DE,L,On-site,Data Science,No
2021,MI,FT,Data Scientist,130000,US,US,L,Hybrid,Data Science,No
2021,SE,FT,Data Analyst,63831,DE,DE,L,Hybrid,Data Analysis,No
2021,MI,FT,Data Scientist,16904,IN,IN,S,Remote,Data Science,No
2021,SE,FT,Machine Learning Engineer,66265,IN,IN,L,On-site,Machine Learning and Artificial Intelligence,No
2021,MI,FT,Data Scientist,25532,RS,DE,S,Remote,Data Science,Yes
2021,SE,FT,Lead Data Engineer,160000,PR,US,S,Hybrid,Data Engineering,Yes
2021,MI,FT,Data Engineer,93150,US,US,M,On-site,Data Engineering,No
2021,MI,FT,Data Engineer,111775,US,US,M,On-site,Data Engineering,No
2021,MI,FT,Data Engineer,28016,TR,TR,M,Remote,Data Engineering,No
2021,EN,FT,Data Engineer,65013,DE,DE,M,Hybrid,Data Engineering,No
2021,EN,FT,Data Engineer,72500,US,US,L,Remote,Data Engineering,No
2021,SE,FT,Computer Vision Engineer,18907,BR,BR,M,On-site,Machine Learning and Artificial Intelligence,No
2021,EN,FT,Data Science Consultant,76833,DE,DE,L,On-site,Data Science,No
2021,EN,FT,Machine Learning Engineer,85000,NL,DE,S,Remote,Machine Learning and Artificial Intelligence,Yes
2021,SE,FT,Data Scientist,77684,FR,FR,M,Hybrid,Data Science,No
2021,EN,FT,Data Scientist,100000,US,US,M,Remote,Data Science,No
2021,EN,FT,Data Scientist,58000,US,US,L,Hybrid,Data Science,No
2021,SE,FT,AI Scientist,55000,ES,ES,L,Remote,Machine Learning and Artificial Intelligence,No
2021,SE,FT,Data Scientist,20171,TR,TR,L,Hybrid,Data Science,No
2021,EN,FT,Business Data Analyst,59102,LU,LU,L,Remote,Data Analysis,No
2021,MI,FT,Data Engineer,112000,US,US,L,Remote,Data Engineering,No
2021,EN,FT,Research Scientist,100000,JE,CN,L,On-site,Academe,Yes
2021,MI,PT,Data Engineer,69741,NL,NL,L,Remote,Data Engineering,No
2021,SE,CT,Staff Data Scientist,105000,US,US,M,Remote,Data Science,No
2021,MI,FT,Research Scientist,69999,CZ,CZ,L,Hybrid,Academe,No
2021,SE,FT,Data Science Manager,94665,IN,IN,L,Hybrid,Data Science,No
2021,SE,FT,Head of Data,102839,SI,SI,L,Remote,Head of Data,No
2021,MI,FT,Data Scientist,109000,US,US,L,Hybrid,Data Science,No
2021,MI,FT,Machine Learning Engineer,51064,IT,IT,L,Hybrid,Machine Learning and Artificial Intelligence,No
2022,SE,FT,Data Engineer,135000,US,US,M,Remote,Data Engineering,No
2022,SE,FT,Data Analyst,155000,US,US,M,Remote,Data Analysis,No
2022,SE,FT,Data Analyst,120600,US,US,M,Remote,Data Analysis,No
2022,MI,FT,Data Scientist,130000,US,US,M,On-site,Data Science,No
2022,MI,FT,Data Scientist,90000,US,US,M,On-site,Data Science,No
2022,MI,FT,Data Engineer,170000,US,US,M,Remote,Data Engineering,No
